ShipName,ShipType,Nationality
Nassau-Weilburgh,,Dutch
Pollux,,Dutch
Maasnimph,Bargentijn,Dutch
Catharina Johanna,,Dutch
Ajax,Korvet,Dutch
Haarlemmerhout,Fregat,Dutch
Melampus,,Dutch
Snelheid,,Dutch
Middelburg,,Dutch
Neerlands Indië,,Dutch
Vrouw Maria Cornelia,,Dutch
Jason,,Dutch
St Maartensdijk,,Dutch
Arend,Korvet,Dutch
Amstel,,Dutch
Amstel,Fregat,Dutch
Arend,,Dutch
Boreas,Fregat,Dutch
Buitenzorg,,Dutch
Bos en Hoven,,Dutch
Borssele,,Dutch
Brak,Kotter,Dutch
Castor,Fregat,Dutch
Ceres,Fregat,Dutch
Christiaan Huijgens,,Dutch
Claudius Civilis,,Dutch
Curacao,Steamer,Dutch
Dageraad,Fregat,Dutch
Diana,Fregat,Dutch
Dolphijn,Fregat,Dutch
Dordregt,Fregat,Dutch
Drie Vrienden,,Dutch
Eensgezindheid,,Dutch
Egmond,,Dutch
Elisabeth,,Dutch
Egmond,Schoener,Dutch
Eliza Susanna,,Dutch
Eolus,,Dutch
Jerusalem,,Dutch
Schagen,,Dutch
Schorpioen,Schoener,Dutch
Eendracht,Korvet,Dutch
Zwaan,,Dutch
Vlijt,Paketboot,Dutch
Vrouw Maria Geertruida,Brik,Dutch
Goede Trouw,,Dutch
Surseance,,Dutch
Wilhelmina Lucia,,Dutch
Star,Paketboot,Dutch
Unie,,Dutch
Pollux,Corvet,Dutch
Windhond,Korvet,Dutch
Van Speyk,Korvet,Dutch
Javaan,Fregat,Dutch
Dolphijn,,Dutch
Elise,Fregat,Dutch
Sirene,,Dutch
Jason,Fregat,Dutch
Lucipara's,,Dutch
Admiraal Jan Evertsen,,Dutch
Hercules,,Dutch
Wolf,,Dutch
Margaretha Simonette,,Dutch
Jacoba,,Dutch
Vliegende Visch,Schoener,Dutch
Joan de Witt,,Dutch
Vr. Elisabeth & Anna Catherina,,Dutch
Tromp,,Dutch
Maas Nijmph,,Dutch
Marij-Goddard,Schoener,Dutch
Botland,,Dutch
Welgeleegen,,Dutch
Merwede,,Dutch
Eliza,,Dutch
Mercuur,Brik,Dutch
Bellona,Fregat,Dutch
Olivier van Noord,,Dutch
Unknown-04,,Dutch
Unknown-05,,Dutch
Vrede,,Dutch
Eensgezindheid,Fregat,Dutch
Rembrandt van Rhijn,,Dutch
Margaretha en Maria,,Dutch
Unknown-06,,Dutch
Echo,Brik,Dutch
Dordrecht,,Dutch
China,,Dutch
Pluto,,Dutch
Prins van Oranje,,Dutch
Proserpina,,Dutch
Oost-Indië Packet,,Dutch
Snoek,,Dutch
Spaarzaamheid,,Dutch
Straat Bali,,Dutch
Catharina,,Dutch
Westerveld,,Dutch
Braave,Fregat,Dutch
Serpent,Schoener,Dutch
Unknown-07,,Dutch
Soolo,,Dutch
Prins Veldmaarschalk,,Dutch
Iris,Transportschip,Dutch
Vrouwe Maria,Vrachtschip,Dutch
Iris,,Dutch
Witte Cornelisz de Wit,,Dutch
Willem Barendsz,Bark,Dutch
Gouverneur Generaal de Klerk,,Dutch
Gouverneur Generaal De Klerk,,Dutch
Lynx,Korvet,Dutch
La Boussole,,French
Maria Reigersbergen,Fregat,Dutch
Curacao,stoompacket,Dutch
Jacob Roggeveen,,Dutch
Rotterdams Welvaren,Korvet,Dutch
Bato,,Dutch
Spion,,Dutch
Brutus,,Dutch
TERRIBLE,NAVÍO,Spanish
DESCONOCIDO-07,NAVÍO,Spanish
Medusa,4th rate,British
DESCONOCIDO-07,NAVIO,Spanish
ASUNCIÓN,FRAGATA,Spanish
DESCONOCIDO-09,PAQUEBOTE,Spanish
DESCONOCIDO-08,DESCONOCIDA,Spanish
Melville Castle,,British
Nautilus,Sloop,British
Pomona,6th rate,British
Proserpine,6th rate,British
Raymond,,British
Regulus,5th rate,British
Resource,6th rate,British
Ruby,3rd rate,British
Scorpion,sloop,British
Seahorse,6th rate,British
Severn,5th rate,British
Dolfijn,Korvet,Dutch
Gier,Brik,Dutch
Saparoea,Schoener,Dutch
Loopuijt,Bark,Dutch
Oud Nederland,Fregat,Dutch
Unknown-08,,Dutch
Sumatra-Java,Fregat,Dutch
Unknown-09,,Dutch
Hendrika,,Dutch
Anthony,,Dutch
La Flore,,French
Pallas,Korvet,Dutch
Kortenaer,,Dutch
Nederwaard,,Dutch
Cortgene,,Dutch
Europa,,Dutch
Euridice,Fregat,Dutch
Euridice,,Dutch
Proteus,Bark,Dutch
Doctrina et Amicitia,Fregat,Dutch
Doctrina et Amicitia,,Dutch
Java Koerier,,Dutch
Gouverneur Elsevier,,Dutch
Amphitrite,Korvet,Dutch
Amphitrite,,Dutch
Geertuijda en Christina,Fregat,Dutch
Algiers,Fregat,Dutch
Ceres,,Dutch
Aurora,Fregat,Dutch
Piet Heijn,Fregat,Dutch
Adder,Schoener,Dutch
Staatsraad Baud,,Dutch
Haay,Brik,Dutch
Die Gebruder,,Hamburg
Grenadier,,Dutch
Nieuwe Hoop,Snauw,Dutch
Walvisch,,Dutch
Argo,Korvet,Dutch
Arend,Brik,Dutch
Unknown-10,,Dutch
Argo,Brik,Dutch
Jonge Jan,,Dutch
Jacoba Maurina,Bark,Dutch
Abel Tasman,,Dutch
Ambon,Schoener,Dutch
Aruba,Schoener,Dutch
Atalante,Schoener,Dutch
Etna,Stoomschip,Dutch
Gedeh,Stoomschip,Dutch
Huzaar,Schoenerbrik,Dutch
Irene,Brik,Dutch
Prins Frederik,Fregat,Dutch
Nassau,,Dutch
Geertruida,Oorlogsschip,Dutch
Twee Cornelissen,,Dutch
Twee Cornelissen,Fregat,Dutch
EL COLON 2?,Fragata correo,Spanish
EL COLON,PAQUEBOTE,Spanish
Augusta,,British
Syren,,British
Pelham,,British
Syren,5th Rate,British
Vigilant,Ship o.t. Line,British
Drie Gebroeders,,Dutch
Prinses Marianne,,Dutch
Standvastigheid,,Dutch
Haast U Langzaam,Fregat,Dutch
Henriette Clasina,,Dutch
Juno,Fregat,Dutch
Zeeuw,,Dutch
Atalante,Brik,Dutch
Havick,Sloop,British
Wilhelmina en Maria,Fregatschip,Dutch
Windhond,Brigantijn,Dutch
Prins Van Oranje,Fregat,Dutch
Jacobus,,Dutch
San Fernando,Paquebot,Spanish
EL PATAGON,PAQUEBOTE,Spanish
El Patagon,Paquebot,Spanish
Jan Daniel,,Dutch
Prins Willem V,,Dutch
Prins Willem V,Fregat,Dutch
SAN JOSE,NAVIO,Spanish
EL GRIMALDI,PAQUEBOTE,Spanish
El Grimaldi,Paquebot,Spanish
Hornet,Snow,British
Hind,6th Rate,British
Otter,Sloop,British
Humber,,British
Penzance,5th Rate,British
Inglis,,British
St Albans,3rd Rate,British
Worcester,,British
Queen,,British
Tilbury,,British
Agatha,,Dutch
Stad Zierikzee,,Dutch
Viegelantie,,Dutch
Admiral Pocock,,British
Monarca,3rd Rate,British
Monmouth,3rd Rate,British
Asia,3rd Rate,British
Asia,,British
Doddington,,British
Clive,,British
Banka,Schoenerbrik,Dutch
Princess Augusta,,British
Shaftesbury,,British
Azia,,Dutch
Plancius,,Dutch
Infanta,Fragata correo,Spanish
Dortenaar,Fregat,Dutch
Resolution,Sloop,British
Resolution,3rd Rate,British
Rippon,4th Rate,British
Nymphe,Sloop,British
Northumberland,,British
Belleisle,3rd Rate,British
Coventry,6th Rate,British
Intrepid,3rd rate,British
Intrepid,3rd Rate,British
Salisbury,4th Rate,British
Pocock,,British
Buckingham,3rd Rate,British
Prudent,3rd Rate,British
Africaensche Galey,,Dutch
Christina,,Dutch
Drie Gesusters,,Dutch
Middelburgs Welvaren,,Dutch
EFIGENIA,FRAGATA,Spanish
MERCURIO,CORBETA,Spanish
LA DESCUBIERTA,CORBETA,Spanish
LA DESCUBIERTA Y ATREVIDA,FRAGATA,Spanish
DESCONOCIDO-10,,Spanish
EL RELÁMPAGO,BERGANTÍN,Spanish
SANTA ANA,NAVÍO,Spanish
DESCONOCIDO-11,PAQUEBOTE,Spanish
Mercurius,,Dutch
Mercurius,Fregat,Dutch
Vrouwe Johanna Catharina,,Dutch
Suriname,,Dutch
Welmeenende,Snauw,Dutch
Propatria,,Dutch
Vrouwe Anthonetta Coenrardina,,Dutch
Zeepaard,Fregat,Dutch
Veere,Pink,Dutch
Broederslust,Hoekerschip,Dutch
Goede Intentie,Hoekerschip,Dutch
Verwachting,Chialoup,Dutch
Veere,,Dutch
Meermin,,Dutch
Hoop,,Dutch
Sambre,Fregat,Dutch
Magnanime,3rd Rate,British
Medea,6th Rate,British
Florida,storeship,British
Warwick,4th Rate,British
LA ASTREA,FRAGATA,Spanish
LA JUNO,FRAGATA,Spanish
EL RAYO,NAVÍO,Spanish
Na Sa DEL ROSARIO,FRAGATA,Spanish
EL SEPTENTRIÓN,BERGANTÍN,Spanish
DESCONOCIDO-13,,Spanish
DESCONOCIDO-12,DESCONOCIDA,Spanish
VENUS,PAQUEBOTE,Spanish
VENUS,FRAGATA,Spanish
SAN JOSEF,NAVÍO,Spanish
MIÑO,NAVÍO,Spanish
EL FAMOSO SEVILLANO,PAQUEBOTE,Spanish
SERIO,NAVÍO,Spanish
SAN JUAN BAUTISTA,POLACRA,Spanish
Na Sa DEL CARMEN,BERGANTÍN,Spanish
